S.no,City,NoB,NoH,Province,Population
1,ajax,210,2,Ontario,119677
2,akwesasne,50,1,Ontario,1202
3,alexandria,70,1,Ontario,52
4,amherstburg,128,1,Ontario,21936
5,arnprior,60,1,Ontario,8795
6,arthur,80,1,Ontario,413
7,athens,60,1,Ontario,3013
8,atikokan,22,1,Ontario,2753
9,aurora,319,2,Ontario,55445
10,aylmer,164,2,Ontario,7492
11,bancroft,110,1,Ontario,3881
12,barrie,1088,9,Ontario,172657
13,belleville,469,3,Ontario,50716
14,blind river,32,2,Ontario,3472
15,bracebridge,160,1,Ontario,16010
16,brampton,1601,11,Ontario,593638
17,brantford,663,5,Ontario,97496
18,brighton,49,1,Ontario,11844
19,brockville,331,2,Ontario,21854
20,burlington,1287,10,Ontario,183314
21,cambridge,841,8,Ontario,129920
22,carleton place,60,1,Ontario,11901
23,chapleau,18,1,Ontario,1964
24,chatham,557,3,Ontario,101647
25,chatsworth,34,1,Ontario,6630
26,clinton,120,1,Ontario,636
27,cobourg,279,3,Ontario,19440
28,cochrane,37,1,Ontario,25853
29,collingwood,270,3,Ontario,21793
30,cornwall,518,5,Ontario,46589
31,deep river,31,2,Ontario,4109
32,deseronto,60,1,Ontario,1774
33,dryden,97,1,Ontario,7749
34,dundas,630,3,Ontario,3914
35,durham,100,1,Ontario,1076
36,elliot lake,64,1,Ontario,10741
37,emo,12,1,Ontario,1333
38,englehart,48,1,Ontario,1479
39,espanola,62,2,Ontario,4996
40,essex,104,1,Ontario,20427
41,fort erie,244,3,Ontario,30710
42,fort frances,154,1,Ontario,7739
43,gananoque,104,1,Ontario,5159
44,georgetown,196,2,Ontario,169
45,gloucester,240,1,Ontario,79943
46,goderich,91,1,Ontario,7628
47,gore bay,61,1,Ontario,850
48,gravenhurst,183,1,Ontario,12311
49,grimsby,233,3,Ontario,27314
50,guelph,667,5,Ontario,131794
51,haliburton,90,2,Ontario,17056
52,hamilton,2341,16,Ontario,693645
53,hanover,111,2,Ontario,15733
54,hawkesbury,146,1,Ontario,10263
55,hearst,67,1,Ontario,5070
56,hensall,60,1,Ontario,1078
57,hornepayne,12,1,Ontario,1050
58,huntsville,170,2,Ontario,19816
59,ingersoll,114,2,Ontario,12757
60,iroquois falls,69,1,Ontario,4537
61,jasper,78,1,Ontario,4590
62,kapuskasing,137,2,Ontario,8292
63,kenora,212,2,Ontario,15096
64,kincardine,40,1,Ontario,11389
65,kingston,923,5,Ontario,2913
66,kingsville,160,1,Ontario,21552
67,kirkland lake,181,2,Ontario,7981
68,kitchener,1148,7,Ontario,470015
69,komoka,120,1,Ontario,1754
70,lancaster,60,1,Ontario,730
71,leamington,410,3,Ontario,32991
72,lion's head,45,1,Ontario,514
73,london,2574,15,Ontario,383822
74,manitouwadge,9,1,Ontario,1937
75,markham,616,4,Ontario,328966
76,maryhill,31,1,Ontario,574
77,mattawa,72,1,Ontario,1993
78,maxville,122,1,Ontario,811
79,meaford,77,1,Ontario,10991
80,merrickville,60,1,Ontario,3067
81,midland,273,2,Ontario,16864
82,milton,200,1,Ontario,110128
83,mississauga,2553,16,Ontario,721599
84,mitchell,131,2,Ontario,2279
85,newcastle,88,1,Ontario,1136
86,newmarket,487,4,Ontario,84224
87,niagara falls,759,6,Ontario,308596
88,niagara-on-the-lake,204,2,Ontario,17511
89,nipigon,15,1,Ontario,1642
90,north bay,388,2,Ontario,51553
91,oakville,790,5,Ontario,193832
92,orangeville,137,1,Ontario,30734
93,orillia,521,4,Ontario,31166
94,oshawa,1001,5,Ontario,166000
95,ottawa,3132,17,Ontario,989567
96,owen sound,338,4,Ontario,31820
97,parry sound,211,2,Ontario,6408
98,pembroke,297,2,Ontario,13882
99,penetanguishene,143,1,Ontario,8962
100,perth,284,2,Ontario,5930
101,peterborough,817,5,Ontario,82094
102,petrolia,253,2,Ontario,5742
103,pickering,357,2,Ontario,91771
104,plantagenet,60,1,Ontario,1027
105,port colborne,150,1,Ontario,18306
106,port hope,285,3,Ontario,16753
107,powassan,128,1,Ontario,3455
108,prescott,60,1,Ontario,3965
109,puslinch,28,1,Ontario,7336
110,rainy river,21,1,Ontario,20370
111,red lake,32,1,Ontario,4107
112,renfrew,259,2,Ontario,8223
113,richmond hill,656,5,Ontario,195022
114,sarnia,708,6,Ontario,71594
115,sault ste. marie,790,5,Ontario,73368
116,shelburne,220,2,Ontario,8126
117,simcoe,349,3,Ontario,446063
118,sioux lookout,20,1,Ontario,5272
119,smiths falls,75,1,Ontario,8780
120,smooth rock falls,20,1,Ontario,1330
121,southampton,84,1,Ontario,1484
122,southwold,64,1,Ontario,4421
123,st. catharines,1199,9,Ontario,309319
124,st. marys,122,2,Ontario,7265
125,st. thomas,402,4,Ontario,61707
126,stirling,75,1,Ontario,1090
127,stouffville,241,2,Ontario,45837
128,stratford,323,4,Ontario,31465
129,sudbury,1166,5,Ontario,88054
130,tecumseh,330,3,Ontario,23229
131,terrace bay,22,1,Ontario,1611
132,thessalon,96,1,Ontario,1279
133,thunder bay,1109,6,Ontario,107909
134,tillsonburg,137,2,Ontario,15872
135,timmins,357,2,Ontario,41788
137,trenton,224,2,Ontario,2474
138,tweed,128,1,Ontario,6044
139,uxbridge,100,1,Ontario,21176
140,vaughan,160,1,Ontario,306233
141,wardsville,60,1,Ontario,431
142,waterloo,528,4,Ontario,104986
143,wawa,22,1,Ontario,2905
144,welland,473,5,Ontario,52293
145,whitby,454,3,Ontario,128377
146,winchester,98,1,Ontario,508
147,windsor,1420,9,Ontario,276165
148,woodstock,315,2,Ontario,40902
149,york,338,2,Ontario,97238
150,zurich,65,1,Ontario,865
